Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
55.0002	0.000125618
55.5002	0.000133635
56.0002	0.000142516
56.5002	0.000158728
57.0002	0.000165344
57.5002	0.000174583
58.0002	0.000183136
58.5002	0.000194103
59.0002	0.000195206
59.5002	0.000207187
60.0002	0.000216306
60.5002	0.000229985
61.0001	0.000236244
61.5001	0.000249447
62.0001	0.00026715
62.5001	0.000289025
63.0001	0.000314774
63.5001	0.000355901
64.0001	0.000400962
64.5001	0.000444831
65.0001	0.000483694
65.5001	0.000516776
65.9994	0.000537936
66.5001	0.000559215
67.0001	0.00058097
67.5001	0.000601117
68.0001	0.000619773
68.5001	0.000635568
69.0001	0.000631157
69.5001	0.000607792
70.0001	0.000582103
70.5001	0.00055081
71.0001	0.000524286
71.5001	0.000507299
72.0001	0.000511531
72.5001	0.000537518
73.0001	0.000561003
73.5	0.00059307
74	0.000640277
74.497	0.00069249
74.9957	0.000754002
75.5	0.000829462
76	0.000913266
76.5	0.00101209
77	0.00111938
77.5	0.00124741
78	0.00143362
78.5	0.00164772
79	0.00192667
79.5	0.00234057
79.9988	0.00294496
80	0.00362946
